TargetUser,OtherUser,CommonItems
1,77,1
1,162,1
1,248,1
1,359,1
1,370,1
1,598,1
1,710,1
1,903,1
1,969,1
1,982,1
1,1140,1
1,1159,1
1,1358,1
1,1446,1
1,1746,1
1,1813,1
1,1839,1
1,1927,1
1,1972,1
1,2024,1
1,2047,1
1,2107,1
1,2177,1
1,2378,1
1,2514,1
1,2601,1
1,2626,1
1,2702,1
1,2718,1
1,2751,1
1,2762,1
1,2907,1
1,3108,1
1,3329,1
1,3497,1
1,3515,1
1,3630,1
1,3667,1
1,3797,1
1,3907,1
1,4011,1
1,4033,1
1,4161,1
1,4183,1
1,4187,1
1,4276,1
1,4431,1
1,4783,1
1,5015,1
1,5725,1
1,5805,1
1,6090,1
1,6099,1
1,6132,1
1,6233,1
1,6264,1
1,6527,1
1,6553,1
1,6921,1
1,7051,1
1,7284,1
1,7382,1
1,7487,1
1,7513,1
1,7784,1
1,7949,1
1,8082,1
1,8121,1
1,8153,1
1,8405,1
1,8412,1
1,8503,1
1,8644,1
1,8647,1
1,8656,1
1,8691,1
1,9023,1
1,9291,1
1,9320,1
1,9322,1
1,9382,1
1,9389,1
1,9935,1
1,10107,1
1,10121,1
1,10129,1
1,10140,1
1,10271,1
1,10276,1
1,10305,1
1,10389,1
1,10487,1
1,10667,1
1,11380,1
1,11431,1
1,11538,1
1,11560,1
1,11865,1
1,12015,1
1,12026,1
1,12133,1
1,12149,1
1,12182,1
1,12191,1
1,12242,1
1,12261,1
1,12531,1
1,12628,1
1,12758,1
1,13174,1
1,13384,1
1,13413,1
1,13564,1
1,13700,1
1,13849,1
1,14058,1
1,14159,1
1,14217,1
1,14230,1
1,14377,1
1,14451,1
1,14518,1
1,14704,1
1,14705,1
1,15328,1
1,15369,1
1,15606,1
1,15637,1
1,15796,1
1,15937,1
1,15947,1
1,15949,1
1,15964,1
1,16050,1
1,16160,1
1,16251,1
1,16348,1
1,16416,1
1,16634,1
1,16670,1
1,16676,1
1,16697,1
1,16924,1
1,17040,1
1,17043,1
1,17062,1
1,17219,1
1,17259,1
1,17333,1
1,17571,1
1,17785,1
1,17982,1
1,18138,1
1,18166,1
1,18354,1
1,18515,1
1,18540,1
1,18548,1
1,18554,1
1,19046,1
1,19275,1
1,19410,1
1,19440,1
1,19630,1
1,19743,1
1,20118,1
1,20262,1
1,20294,1
1,20313,1
1,20506,1
1,20513,1
1,20529,1
1,20647,1
1,20845,1
1,20922,1
1,21070,1
1,21086,1
1,21163,1
1,21269,1
1,21284,1
1,21305,1
1,21364,1
1,21467,1
1,21496,1
1,21601,1
1,21668,1
1,22149,1
1,22246,1
1,22483,1
1,22501,1
1,22923,1
1,23061,1
1,23207,1
1,23301,1
1,23326,1
1,23473,1
1,23514,1
1,23745,1
1,23766,1
1,23890,1
1,24112,1
1,24116,1
1,24317,1
1,24537,1
1,24645,1
1,24648,1
1,24667,1
1,24903,1
1,24942,1
1,24948,1
1,25050,1
1,25104,1
1,25246,1
1,25295,1
1,25397,1
1,25433,1
1,25478,1
1,25512,1
1,25596,1
1,25695,1
1,25777,1
1,25785,1
1,25967,1
1,25978,1
1,26119,1
