item,count
3030,1043
494,3510
788,5394
802,3670
231,9326
222,1768
289,913
458,337
1060,2873
1717,2052
3608,1636
34,9276
3360,1378
171,423
319,2095
1224,1327
2529,3628
1408,3610
2722,2129
4344,1730
8873,1199
8983,1225
32031,528
58295,585
70286,2403
93510,403
3968,1162
4054,871
4844,719
2336,2563
4166,206
1005,619
179,365
1130,546
1970,697
2114,991
2134,1667
549,438
1468,357
93,598
287,102
580,173
599,942
996,979
1807,62
2013,1447
2099,380
2327,205
2463,967
2661,169
2875,610
2998,28
3113,1512
3282,44
3789,192
3879,403
4332,113
4499,1193
4522,38
4562,109
4597,90
4653,30
5208,38
5580,46
5843,215
45662,176
3248,734
5872,1564
8666,457
2458,258
801,456
6856,154
39292,1125
46322,384
49526,61
81546,7
1713,675
2624,233
5107,325
27604,103
31437,155
31892,11
31952,141
41721,38
44849,85
71462,216
59256,67
101741,86
56941,338
69134,277
1866,506
4293,169
2839,55
80432,9
96514,5
99904,2
100344,41
104638,3
2877,485
8378,65
1341,122
6222,95
40962,69
47830,50
59501,491
92507,154
99962,2
4634,68
6827,110
2609,154
67734,479
6430,49
97870,70
111364,188
55255,54
705,125
3436,248
86347,221
94405,64
95449,100
4909,106
6473,22
26283,47
561,76
1822,50
3692,87
4120,16
4199,50
4284,50
30818,92
55036,4
78041,105
5688,40
6772,126
27193,120
114060,39
2962,139
5134,102
32632,27
7091,259
4972,55
7209,181
26502,59
773,18
929,287
48049,10
97024,63
110127,115
54290,60
1757,164
6792,32
3012,33
8125,143
34659,4
92391,28
27156,129
62586,26
1383,47
57848,7
32627,32
52712,92
4760,11
7579,162
56945,28
1070,23
5143,20
74791,40
495,207
5117,66
5743,64
26391,54
62439,70
32302,93
5287,66
58365,16
8680,24
7759,67
66854,6
4766,50
67073,47
6682,29
7474,32
95604,5
8123,26
88272,20
93570,6
27644,18
73681,35
90378,31
4829,29
7331,24
27830,25
58494,40
82904,14
5795,18
68173,18
36086,19
5583,22
81804,46
32076,33
65927,11
1780,42
60096,5
118272,2
44900,27
96909,7
105554,2
63119,7
6839,41
48001,16
108410,2
36289,59
7109,18
3492,29
4319,27
4363,24
6171,7
6514,4
7289,22
7565,12
8335,37
8693,10
8821,12
8922,20
27334,12
51638,28
55369,10
57476,10
58418,35
72310,5
113122,1
4817,24
31600,4
4108,33
4647,14
26338,8
55360,15
70507,5
71677,6
72552,7
76085,7
88398,2
90413,8
96467,37
124537,1
80775,39
88414,2
53906,33
84181,1
69446,4
83437,4
79936,5
83616,6
4114,14
100553,9
72159,4
87685,4
88075,3
99861,12
117851,21
55154,11
55751,3
60618,4
70869,5
74086,1
78422,3
127321,4
73488,29
63458,18
92210,14
60213,13
119705,2
33117,5
46525,5
49615,22
76089,7
84836,2
50886,18
108501,23
38164,13
26379,23
41025,37
65259,13
104089,11
43838,22
62153,11
103784,4
118688,2
32013,12
104392,1
7127,24
62245,18
114599,1
51060,10
94739,10
95816,15
95157,3
66586,3
7363,3
97742,28
50594,25
34666,9
73981,14
98219,2
81411,4
33132,7
77326,6
78130,4
85783,3
117893,5
121253,5
121366,3
126749,4
77672,10
54254,7
107306,2
101765,8
82857,9
85273,5
97010,1
96629,5
106475,1
113800,1
115111,3
31000,22
70543,7
74263,8
110056,1
110409,2
128445,2
93574,6
100085,4
79003,3
51187,23
100060,1
120763,1
107539,4
126939,1
126957,1
97775,2
120610,2
3321,5
79228,4
124825,1
125359,1
96239,4
83248,5
89623,3
89516,3
109526,1
113843,2
72931,2
101812,3
130083,1
115502,3
69483,9
78885,1
93212,20
67098,14
76121,3
103003,1
85360,6
75808,4
25775,11
130502,2
101158,3
5702,4
127270,1
7878,10
88378,2
105450,1
107402,2
129227,1
69811,1
86453,3
93168,3
110267,2
110503,4
97906,1
128616,3
25948,7
87076,3
33142,2
79461,3
103838,3
110063,1
98922,5
99240,1
100103,1
92481,3
107075,2
119629,2
121457,1
52942,4
84450,4
86438,1
87994,4
91560,2
115524,1
108237,1
110850,2
107836,1
3458,4
99497,1
106208,1
112277,2
105310,1
106431,3
108588,1
108590,1
108685,1
128099,2
129391,1
73060,3
97886,2
101710,3
101719,3
70421,2
80655,2
89114,3
121211,1
114842,1
87880,4
8668,2
25894,7
33767,3
79925,2
101446,1
109032,1
93752,4
116441,1
130784,1
91589,2
117504,1
91446,4
101717,2
108425,1
43631,2
110320,1
131148,1
131154,1
72657,1
30764,2
114238,1
111716,1
117624,1
126124,1
129405,2
126586,1
130298,1
72022,2
70537,3
98989,2
106634,2
110116,1
27657,2
105096,2
111882,1
102852,1
114172,1
52173,2
66539,2
103653,2
104817,1
108674,1
111261,2
129739,1
102028,1
121300,1
117750,1
112948,1
117907,1
125992,1
111850,1
129771,1
93544,1
108503,1
112249,1
116600,1
112383,1
120524,1
120903,1
122855,1
125652,1
128399,1
72822,4
90260,1
31152,2
99347,1
89829,1
94786,1
97847,1
114698,1
118292,1
119133,1
107951,1
117859,1
91745,1
95517,1
120833,1
