user,avg
1,3.0
6,3.67
19,4.0
26,2.0
38,3.67
40,3.33
47,1.0
48,3.67
52,4.0
55,4.0
57,5.0
61,3.0
64,1.0
70,2.33
73,4.67
77,4.5
83,3.0
85,4.0
96,3.71
103,4.0
105,4.0
109,3.0
119,5.0
121,3.0
124,2.67
126,3.0
130,3.29
134,3.21
140,3.83
145,3.0
147,3.5
150,4.0
156,3.71
157,3.5
162,2.5
164,3.0
169,4.67
172,3.5
174,4.0
179,2.5
188,2.67
190,4.0
199,5.0
204,4.0
206,3.33
213,4.0
220,4.5
231,2.0
232,3.0
234,3.0
243,1.0
246,3.0
248,4.0
255,4.0
259,4.0
262,5.0
264,3.0
267,4.33
269,3.0
272,4.0
275,4.0
280,4.0
281,5.0
283,2.8
290,3.0
294,3.33
296,3.0
299,1.0
317,3.83
352,4.0
358,1.5
359,3.7
366,3.5
368,3.5
370,3.71
374,3.8
378,4.0
380,3.33
383,3.0
389,3.0
397,4.0
404,4.0
409,3.86
417,2.56
421,3.0
426,3.0
427,2.0
428,1.0
429,5.0
433,4.0
443,1.0
445,3.29
446,4.0
450,3.5
451,3.5
455,3.0
456,3.33
459,3.5
463,4.5
471,3.5
481,3.0
496,4.0
501,4.0
505,4.0
509,3.33
512,4.0
514,1.0
516,3.86
532,4.5
533,5.0
534,5.0
542,4.0
543,5.0
545,3.0
554,3.55
556,3.0
557,4.5
563,4.5
567,5.0
568,4.0
572,3.48
579,2.86
584,4.0
588,1.0
594,3.0
598,4.0
600,4.12
606,4.0
612,4.0
621,4.33
622,5.0
623,2.0
624,3.5
627,4.33
628,3.2
631,3.2
633,3.0
637,3.36
642,4.0
648,3.04
649,4.0
652,4.5
654,3.0
660,3.0
662,2.33
663,3.89
664,4.25
670,3.5
673,2.0
675,3.25
679,3.0
692,2.25
693,1.0
697,2.5
705,3.0
710,4.59
718,4.0
725,4.33
731,3.0
739,3.5
743,3.0
761,2.38
762,4.0
767,3.0
770,4.5
771,2.5
781,3.0
782,3.0
790,4.33
794,4.0
797,4.0
800,4.0
802,3.83
807,3.0
810,3.5
812,2.82
816,4.33
817,3.67
821,3.5
831,3.0
833,3.0
841,3.25
843,1.78
856,3.71
860,3.6
868,4.33
872,3.36
879,3.0
886,5.0
887,5.0
894,5.0
897,4.5
903,2.43
910,4.0
914,5.0
915,5.0
920,2.5
922,5.0
924,4.33
930,3.25
935,2.25
936,3.75
937,5.0
940,3.0
945,3.5
949,4.0
951,3.0
953,5.0
960,4.0
961,3.0
969,4.0
971,3.17
978,1.8
980,4.0
982,3.22
987,4.0
991,2.0
997,4.0
1001,3.0
1006,4.0
1007,3.2
1011,3.33
1016,3.0
1020,3.0
1043,3.0
1055,3.0
1062,5.0
1065,4.0
1086,1.0
1088,4.5
1092,3.0
1098,3.5
1100,2.67
1103,4.0
1105,3.4
1118,2.0
1122,3.0
1124,1.0
1127,5.0
1132,3.5
1133,3.33
1140,3.67
1143,4.33
1144,3.33
1155,3.42
1159,4.0
1160,3.33
1165,3.0
1184,2.0
1187,3.75
1188,5.0
1195,3.0
1199,3.5
1202,4.0
