item,avg
3030,4.33
494,3.39
788,2.95
802,3.53
231,3.05
222,3.55
289,3.35
458,3.14
1060,3.98
1717,2.86
3608,3.39
34,3.72
3360,3.96
171,3.52
319,3.88
1224,4.19
2529,3.73
1408,3.84
2722,2.8
4344,3.2
8873,4.09
8983,3.95
32031,3.51
58295,3.86
70286,4.09
93510,3.79
3968,2.98
4054,3.33
4844,3.52
2336,4.01
4166,3.64
1005,2.53
179,2.78
1130,3.3
1970,2.77
2114,3.73
2134,3.4
549,3.96
1468,2.7
93,2.58
287,3.21
580,3.08
599,4.09
996,3.04
1807,3.18
2013,3.36
2099,3.67
2327,2.96
2463,3.43
2661,3.31
2875,3.16
2998,3.32
3113,2.73
3282,3.75
3789,4.02
3879,3.01
4332,3.33
4499,3.78
4522,3.24
4562,3.72
4597,3.0
4653,3.0
5208,3.63
5580,2.52
5843,3.13
45662,2.82
3248,2.63
5872,3.27
8666,2.12
2458,2.55
801,3.07
6856,3.93
39292,4.04
46322,3.97
49526,2.95
81546,3.43
1713,2.91
2624,4.05
5107,3.25
27604,3.5
31437,4.15
31892,3.18
31952,3.94
41721,3.76
44849,3.47
71462,4.03
59256,3.16
101741,3.52
56941,3.76
69134,3.56
1866,3.09
4293,2.99
2839,3.69
80432,4.11
96514,3.2
99904,1.0
100344,3.56
104638,1.67
2877,3.08
8378,3.54
1341,2.95
6222,3.34
40962,2.93
47830,3.4
59501,3.52
92507,3.6
99962,4.0
4634,3.24
6827,1.84
2609,3.95
67734,3.73
6430,3.88
97870,3.91
111364,3.15
55255,3.33
705,3.59
3436,2.82
86347,4.26
94405,3.41
95449,3.24
4909,2.91
6473,3.0
26283,3.74
561,3.33
1822,1.9
3692,2.43
4120,2.56
4199,2.54
4284,2.82
30818,3.38
55036,2.75
78041,3.25
5688,3.77
6772,4.0
27193,3.34
114060,3.64
2962,3.45
5134,3.38
32632,3.59
7091,4.22
4972,3.09
7209,3.91
26502,3.81
773,3.17
929,3.9
48049,3.4
97024,4.11
110127,3.01
54290,1.72
1757,4.0
6792,3.31
3012,3.27
8125,4.23
34659,3.0
92391,3.64
27156,4.15
62586,2.31
1383,2.23
57848,3.71
32627,2.16
52712,3.28
4760,3.55
7579,3.81
56945,3.04
1070,3.04
5143,3.25
74791,3.95
495,3.54
5117,3.05
5743,3.12
26391,3.43
62439,3.31
32302,3.08
5287,3.47
58365,3.69
8680,3.17
7759,4.01
66854,4.0
4766,3.08
67073,2.74
6682,3.55
7474,3.66
95604,4.4
8123,3.65
88272,3.05
93570,4.0
27644,3.28
73681,3.54
90378,3.58
4829,3.17
7331,3.29
27830,3.76
58494,3.17
82904,3.29
5795,3.89
68173,3.72
36086,3.26
5583,2.5
81804,3.67
32076,2.73
65927,2.64
1780,3.24
60096,4.0
118272,3.5
44900,3.33
96909,3.29
105554,3.5
63119,3.29
6839,3.1
48001,3.69
108410,4.5
36289,3.2
7109,3.33
3492,3.52
4319,3.11
4363,3.08
6171,3.29
6514,1.5
7289,2.41
7565,2.33
8335,4.11
8693,2.8
8821,2.42
8922,3.15
27334,3.83
51638,3.75
55369,3.8
57476,3.2
58418,3.09
