item,sum
3030,4513.0
494,11911.0
788,15904.0
802,12964.0
231,28465.0
222,6274.0
289,3060.0
458,1058.0
1060,11434.0
1717,5870.0
3608,5553.0
34,34476.0
3360,5454.0
171,1489.0
319,8131.0
1224,5565.0
2529,13533.0
1408,13859.0
2722,5958.0
4344,5536.0
8873,4908.0
8983,4841.0
32031,1855.0
58295,2260.0
70286,9826.0
93510,1529.0
3968,3462.0
4054,2901.0
4844,2530.0
2336,10270.0
4166,749.0
1005,1564.0
179,1016.0
1130,1803.0
1970,1933.0
2114,3692.0
2134,5661.0
549,1733.0
1468,963.0
93,1545.0
287,327.0
580,533.0
599,3850.0
996,2978.0
1807,197.0
2013,4861.0
2099,1395.0
2327,606.0
2463,3312.0
2661,560.0
2875,1929.0
2998,93.0
3113,4134.0
3282,165.0
3789,771.0
3879,1215.0
4332,376.0
4499,4512.0
4522,123.0
4562,405.0
4597,270.0
4653,90.0
5208,138.0
5580,116.0
5843,674.0
45662,496.0
3248,1928.0
5872,5119.0
8666,970.0
2458,659.0
801,1398.0
6856,605.0
39292,4550.0
46322,1523.0
49526,180.0
81546,24.0
1713,1965.0
2624,943.0
5107,1056.0
27604,361.0
31437,643.0
31892,35.0
31952,555.0
41721,143.0
44849,295.0
71462,871.0
59256,212.0
101741,303.0
56941,1271.0
69134,986.0
1866,1565.0
4293,506.0
2839,203.0
80432,37.0
96514,16.0
99904,2.0
100344,146.0
104638,5.0
2877,1496.0
8378,230.0
1341,360.0
6222,317.0
40962,202.0
47830,170.0
59501,1728.0
92507,554.0
99962,8.0
4634,220.0
6827,202.0
2609,609.0
67734,1785.0
6430,190.0
97870,274.0
111364,592.0
55255,180.0
705,449.0
3436,700.0
86347,942.0
94405,218.0
95449,324.0
4909,308.0
6473,66.0
26283,176.0
561,253.0
1822,95.0
3692,211.0
4120,41.0
4199,127.0
4284,141.0
30818,311.0
55036,11.0
78041,341.0
5688,151.0
6772,504.0
27193,401.0
114060,142.0
2962,479.0
5134,345.0
32632,97.0
7091,1093.0
4972,170.0
7209,708.0
26502,225.0
773,57.0
929,1120.0
48049,34.0
97024,259.0
110127,346.0
54290,103.0
1757,656.0
6792,106.0
3012,108.0
8125,605.0
34659,12.0
92391,102.0
27156,535.0
62586,60.0
1383,105.0
57848,26.0
32627,69.0
52712,302.0
4760,39.0
7579,617.0
56945,85.0
1070,70.0
5143,65.0
74791,158.0
495,732.0
5117,201.0
5743,200.0
26391,185.0
62439,232.0
32302,286.0
5287,229.0
58365,59.0
8680,76.0
7759,269.0
66854,24.0
4766,154.0
67073,129.0
6682,103.0
7474,117.0
95604,22.0
8123,95.0
88272,61.0
93570,24.0
27644,59.0
73681,124.0
90378,111.0
4829,92.0
7331,79.0
27830,94.0
58494,127.0
82904,46.0
5795,70.0
68173,67.0
36086,62.0
5583,55.0
81804,169.0
32076,90.0
65927,29.0
1780,136.0
60096,20.0
118272,7.0
44900,90.0
96909,23.0
105554,7.0
63119,23.0
6839,127.0
48001,59.0
108410,9.0
36289,189.0
7109,60.0
3492,102.0
4319,84.0
4363,74.0
6171,23.0
6514,6.0
7289,53.0
7565,28.0
8335,152.0
8693,28.0
8821,29.0
8922,63.0
27334,46.0
51638,105.0
55369,38.0
57476,32.0
58418,108.0
72310,16.0
113122,4.0
4817,80.0
31600,11.0
4108,105.0
4647,34.0
26338,24.0
55360,52.0
70507,18.0
71677,21.0
72552,20.0
76085,23.0
88398,7.0
90413,29.0
96467,129.0
124537,4.0
80775,125.0
88414,4.0
53906,115.0
84181,4.0
69446,11.0
83437,13.0
79936,20.0
83616,18.0
