ItemID,RatingCount,Popularity
34,9276,High Popularity
93,598,High Popularity
171,423,High Popularity
179,365,High Popularity
222,1768,High Popularity
231,9326,High Popularity
287,102,High Popularity
289,913,High Popularity
319,2095,High Popularity
458,337,High Popularity
494,3510,High Popularity
495,207,High Popularity
549,438,High Popularity
561,76,High Popularity
580,173,High Popularity
599,942,High Popularity
705,125,High Popularity
773,18,Medium Popularity
788,5394,High Popularity
801,456,High Popularity
802,3670,High Popularity
929,287,High Popularity
996,979,High Popularity
1005,619,High Popularity
1060,2873,High Popularity
1070,23,Medium Popularity
1130,546,High Popularity
1224,1327,High Popularity
1341,122,High Popularity
1383,47,High Popularity
1408,3610,High Popularity
1468,357,High Popularity
1713,675,High Popularity
1717,2052,High Popularity
1757,164,High Popularity
1780,42,High Popularity
1807,62,High Popularity
1822,50,High Popularity
1866,506,High Popularity
1970,697,High Popularity
2013,1447,High Popularity
2099,380,High Popularity
2114,991,High Popularity
2134,1667,High Popularity
2327,205,High Popularity
2336,2563,High Popularity
2458,258,High Popularity
2463,967,High Popularity
2529,3628,High Popularity
2609,154,High Popularity
2624,233,High Popularity
2661,169,High Popularity
2722,2129,High Popularity
2839,55,High Popularity
2875,610,High Popularity
2877,485,High Popularity
2962,139,High Popularity
2998,28,Medium Popularity
3012,33,High Popularity
3030,1043,High Popularity
3113,1512,High Popularity
3248,734,High Popularity
3282,44,High Popularity
3321,5,Medium Popularity
3360,1378,High Popularity
3436,248,High Popularity
3458,4,Medium Popularity
3492,29,Medium Popularity
3608,1636,High Popularity
3692,87,High Popularity
3789,192,High Popularity
3879,403,High Popularity
3968,1162,High Popularity
4054,871,High Popularity
4108,33,High Popularity
4114,14,Medium Popularity
4120,16,Medium Popularity
4166,206,High Popularity
4199,50,High Popularity
4284,50,High Popularity
4293,169,High Popularity
4319,27,Medium Popularity
4332,113,High Popularity
4344,1730,High Popularity
4363,24,Medium Popularity
4499,1193,High Popularity
4522,38,High Popularity
4562,109,High Popularity
4597,90,High Popularity
4634,68,High Popularity
4647,14,Medium Popularity
4653,30,Medium Popularity
4760,11,Medium Popularity
4766,50,High Popularity
4817,24,Medium Popularity
4829,29,Medium Popularity
4844,719,High Popularity
4909,106,High Popularity
4972,55,High Popularity
5107,325,High Popularity
5117,66,High Popularity
5134,102,High Popularity
5143,20,Medium Popularity
5208,38,High Popularity
5287,66,High Popularity
5580,46,High Popularity
5583,22,Medium Popularity
5688,40,High Popularity
5702,4,Medium Popularity
5743,64,High Popularity
5795,18,Medium Popularity
5843,215,High Popularity
5872,1564,High Popularity
6171,7,Medium Popularity
6222,95,High Popularity
6430,49,High Popularity
6473,22,Medium Popularity
6514,4,Medium Popularity
6682,29,Medium Popularity
6772,126,High Popularity
6792,32,High Popularity
6827,110,High Popularity
6839,41,High Popularity
6856,154,High Popularity
7091,259,High Popularity
7109,18,Medium Popularity
7127,24,Medium Popularity
7209,181,High Popularity
7289,22,Medium Popularity
7331,24,Medium Popularity
7363,3,Low Popularity
7474,32,High Popularity
7565,12,Medium Popularity
7579,162,High Popularity
7759,67,High Popularity
7878,10,Medium Popularity
8123,26,Medium Popularity
8125,143,High Popularity
8335,37,High Popularity
8378,65,High Popularity
8666,457,High Popularity
8668,2,Low Popularity
8680,24,Medium Popularity
8693,10,Medium Popularity
8821,12,Medium Popularity
8873,1199,High Popularity
8922,20,Medium Popularity
8983,1225,High Popularity
25775,11,Medium Popularity
25894,7,Medium Popularity
25948,7,Medium Popularity
26283,47,High Popularity
26338,8,Medium Popularity
26379,23,Medium Popularity
26391,54,High Popularity
26502,59,High Popularity
27156,129,High Popularity
27193,120,High Popularity
27334,12,Medium Popularity
27604,103,High Popularity
27644,18,Medium Popularity
27657,2,Low Popularity
27830,25,Medium Popularity
30764,2,Low Popularity
30818,92,High Popularity
31000,22,Medium Popularity
31152,2,Low Popularity
31437,155,High Popularity
31600,4,Medium Popularity
31892,11,Medium Popularity
31952,141,High Popularity
32013,12,Medium Popularity
32031,528,High Popularity
32076,33,High Popularity
32302,93,High Popularity
32627,32,High Popularity
32632,27,Medium Popularity
33117,5,Medium Popularity
33132,7,Medium Popularity
33142,2,Low Popularity
33767,3,Low Popularity
34659,4,Medium Popularity
34666,9,Medium Popularity
36086,19,Medium Popularity
36289,59,High Popularity
38164,13,Medium Popularity
39292,1125,High Popularity
40962,69,High Popularity
41025,37,High Popularity
41721,38,High Popularity
43631,2,Low Popularity
43838,22,Medium Popularity
44849,85,High Popularity
44900,27,Medium Popularity
45662,176,High Popularity
46322,384,High Popularity
46525,5,Medium Popularity
47830,50,High Popularity
48001,16,Medium Popularity
48049,10,Medium Popularity
49526,61,High Popularity
49615,22,Medium Popularity
50594,25,Medium Popularity
50886,18,Medium Popularity
51060,10,Medium Popularity
51187,23,Medium Popularity
51638,28,Medium Popularity
52173,2,Low Popularity
52712,92,High Popularity
52942,4,Medium Popularity
53906,33,High Popularity
54254,7,Medium Popularity
54290,60,High Popularity
55036,4,Medium Popularity
55154,11,Medium Popularity
55255,54,High Popularity
55360,15,Medium Popularity
55369,10,Medium Popularity
55751,3,Low Popularity
56941,338,High Popularity
56945,28,Medium Popularity
57476,10,Medium Popularity
57848,7,Medium Popularity
58295,585,High Popularity
58365,16,Medium Popularity
58418,35,High Popularity
58494,40,High Popularity
59256,67,High Popularity
59501,491,High Popularity
60096,5,Medium Popularity
60213,13,Medium Popularity
60618,4,Medium Popularity
62153,11,Medium Popularity
62245,18,Medium Popularity
62439,70,High Popularity
62586,26,Medium Popularity
63119,7,Medium Popularity
63458,18,Medium Popularity
65259,13,Medium Popularity
65927,11,Medium Popularity
66539,2,Low Popularity
66586,3,Low Popularity
66854,6,Medium Popularity
67073,47,High Popularity
67098,14,Medium Popularity
67734,479,High Popularity
68173,18,Medium Popularity
69134,277,High Popularity
69446,4,Medium Popularity
69483,9,Medium Popularity
69811,1,Low Popularity
70286,2403,High Popularity
70421,2,Low Popularity
70507,5,Medium Popularity
70537,3,Low Popularity
70543,7,Medium Popularity
70869,5,Medium Popularity
71462,216,High Popularity
71677,6,Medium Popularity
72022,2,Low Popularity
