TargetItem,Peer_Rank,Peer_ItemID,Latent_Similarity,Space_Type
99904,1,34,0.0,Top10_Latent
99904,2,92210,0.0,Top10_Latent
99904,3,94786,0.0,Top10_Latent
99904,4,94739,0.0,Top10_Latent
99904,5,94405,0.0,Top10_Latent
99904,6,93752,0.0,Top10_Latent
99904,7,93574,0.0,Top10_Latent
99904,8,93570,0.0,Top10_Latent
99904,9,93544,0.0,Top10_Latent
99904,10,93510,0.0,Top10_Latent
119705,1,34,0.0,Top10_Latent
119705,2,92210,0.0,Top10_Latent
119705,3,94786,0.0,Top10_Latent
119705,4,94739,0.0,Top10_Latent
119705,5,94405,0.0,Top10_Latent
119705,6,93752,0.0,Top10_Latent
119705,7,93574,0.0,Top10_Latent
119705,8,93570,0.0,Top10_Latent
119705,9,93544,0.0,Top10_Latent
119705,10,93510,0.0,Top10_Latent
