UserID,RatingCount,Percentage,Group
1,1,0.2,Cold
6,3,0.6,Cold
19,3,0.6,Cold
26,1,0.2,Cold
38,3,0.6,Cold
40,3,0.6,Cold
47,3,0.6,Cold
48,3,0.6,Cold
52,1,0.2,Cold
55,1,0.2,Cold
57,1,0.2,Cold
61,1,0.2,Cold
64,1,0.2,Cold
70,3,0.6,Cold
73,3,0.6,Cold
77,2,0.4,Cold
83,1,0.2,Cold
85,1,0.2,Cold
96,7,1.4000000000000001,Cold
103,3,0.6,Cold
105,2,0.4,Cold
109,2,0.4,Cold
119,1,0.2,Cold
121,1,0.2,Cold
124,3,0.6,Cold
126,2,0.4,Cold
130,7,1.4000000000000001,Cold
134,14,2.8000000000000003,Medium
140,6,1.2,Cold
145,1,0.2,Cold
147,4,0.8,Cold
150,1,0.2,Cold
156,45,9.0,Other
157,2,0.4,Cold
162,2,0.4,Cold
164,1,0.2,Cold
169,3,0.6,Cold
172,2,0.4,Cold
174,1,0.2,Cold
179,2,0.4,Cold
188,3,0.6,Cold
190,1,0.2,Cold
199,1,0.2,Cold
204,1,0.2,Cold
206,6,1.2,Cold
213,1,0.2,Cold
220,4,0.8,Cold
231,1,0.2,Cold
232,2,0.4,Cold
234,1,0.2,Cold
243,1,0.2,Cold
246,1,0.2,Cold
248,2,0.4,Cold
255,2,0.4,Cold
259,2,0.4,Cold
262,1,0.2,Cold
264,2,0.4,Cold
267,3,0.6,Cold
269,4,0.8,Cold
272,2,0.4,Cold
275,2,0.4,Cold
280,2,0.4,Cold
281,1,0.2,Cold
283,5,1.0,Cold
290,2,0.4,Cold
294,18,3.5999999999999996,Medium
296,1,0.2,Cold
299,1,0.2,Cold
317,6,1.2,Cold
352,2,0.4,Cold
358,2,0.4,Cold
359,27,5.4,Other
366,2,0.4,Cold
368,2,0.4,Cold
370,7,1.4000000000000001,Cold
374,5,1.0,Cold
378,6,1.2,Cold
380,3,0.6,Cold
383,5,1.0,Cold
389,4,0.8,Cold
397,2,0.4,Cold
404,1,0.2,Cold
409,7,1.4000000000000001,Cold
417,9,1.7999999999999998,Cold
421,8,1.6,Cold
426,1,0.2,Cold
427,4,0.8,Cold
428,1,0.2,Cold
429,1,0.2,Cold
433,2,0.4,Cold
443,1,0.2,Cold
445,7,1.4000000000000001,Cold
446,1,0.2,Cold
450,2,0.4,Cold
451,2,0.4,Cold
455,5,1.0,Cold
456,3,0.6,Cold
459,8,1.6,Cold
463,2,0.4,Cold
471,10,2.0,Cold
481,2,0.4,Cold
496,4,0.8,Cold
501,1,0.2,Cold
505,1,0.2,Cold
509,3,0.6,Cold
512,1,0.2,Cold
514,1,0.2,Cold
516,7,1.4000000000000001,Cold
532,2,0.4,Cold
533,2,0.4,Cold
534,1,0.2,Cold
