User,Rank,Item_ID,Predicted_Rating,Title
AGSP6LSQK32SQEJO3YVVNACPWMSQ,1,0002726874,5.0,Quartered Safe Out Here: A Recollection of the War in Burma
AGSP6LSQK32SQEJO3YVVNACPWMSQ,2,0007163657,5.0,Eating the Sun: How Plants Power the Planet
AGSP6LSQK32SQEJO3YVVNACPWMSQ,3,0007494602,5.0,"The Missing and the Dead (Logan McRae, Book 9)"
AGSP6LSQK32SQEJO3YVVNACPWMSQ,4,0007504063,5.0,"Warriors of the Storm (The Last Kingdom Series, Book 9)"
AGSP6LSQK32SQEJO3YVVNACPWMSQ,5,0008167923,5.0,The Day The Crayons Quit
AGSP6LSQK32SQEJO3YVVNACPWMSQ,6,000827150X,5.0,Women and Children First
AGSP6LSQK32SQEJO3YVVNACPWMSQ,7,0008433968,5.0,The Forgotten Orphan: The heartbreaking and gripping World War 2 historical novel
AGSP6LSQK32SQEJO3YVVNACPWMSQ,8,0020381301,5.0,Co. Aytch : The Classic Memoir of the Civil War By a Confederate Soldier
AGSP6LSQK32SQEJO3YVVNACPWMSQ,9,0020420404,5.0,Molly Pitcher: Young Patriot (Childhood of Famous Americans)
AGSP6LSQK32SQEJO3YVVNACPWMSQ,10,0026284707,5.0,Men at Work: The Craft of Baseball
AG473D27NAWRW3N2RMWVYZ6ICBTA,1,0001061240,5.0,The golden treasury of poetry
AG473D27NAWRW3N2RMWVYZ6ICBTA,2,0001713353,5.0,"King, the Mice and the Cheese"
AG473D27NAWRW3N2RMWVYZ6ICBTA,3,0002242052,5.0,Without Remorse
AG473D27NAWRW3N2RMWVYZ6ICBTA,4,0002554771,5.0,The Best of New Orleans
AG473D27NAWRW3N2RMWVYZ6ICBTA,5,0006480160,5.0,The Complete Stories of Isaac Asimov
AG473D27NAWRW3N2RMWVYZ6ICBTA,6,0006496431,5.0,The Little House
AG473D27NAWRW3N2RMWVYZ6ICBTA,7,0007101082,5.0,Peril’s Gate: Third Book of The Alliance of Light (The Wars of Light and Shadow) (Book 6)
AG473D27NAWRW3N2RMWVYZ6ICBTA,8,0007181876,5.0,"Britain AD: A Quest for Arthur, England and the Anglo-Saxons"
AG473D27NAWRW3N2RMWVYZ6ICBTA,9,0007270909,5.0,Paddington Pocket Library
AG473D27NAWRW3N2RMWVYZ6ICBTA,10,0007299281,5.0,"Run, Mummy, Run"
AH665SQ6SQF6DXAGYIQFCX76LALA,1,0001837397,5.0,Autumn Story: Introduce children to the seasons in the gorgeously illustrated classics of Brambly Hedge!
AH665SQ6SQF6DXAGYIQFCX76LALA,2,0006490603,5.0,Titanic
AH665SQ6SQF6DXAGYIQFCX76LALA,3,0006514650,5.0,Alice Hartley's Happiness
AH665SQ6SQF6DXAGYIQFCX76LALA,4,0006751032,5.0,The Butterfly Lion
AH665SQ6SQF6DXAGYIQFCX76LALA,5,0007101082,5.0,Peril’s Gate: Third Book of The Alliance of Light (The Wars of Light and Shadow) (Book 6)
AH665SQ6SQF6DXAGYIQFCX76LALA,6,0007311648,5.0,The Cutting Room
AH665SQ6SQF6DXAGYIQFCX76LALA,7,0007419422,5.0,Flesh House (Logan McRae) (Book 4)
AH665SQ6SQF6DXAGYIQFCX76LALA,8,0008168261,5.0,Twist: Creative Ideas to Reinvent Your Baking
AH665SQ6SQF6DXAGYIQFCX76LALA,9,0008479410,5.0,Daughters of War (The Daughters of War) (Book 1)
AH665SQ6SQF6DXAGYIQFCX76LALA,10,002009745X,5.0,In Madeleines Kitchen P
AFWVN52MRBWOTIK7UGXBWGOY4HBA,1,0002553341,5.0,Roy Rogers: King of the Cowboys
AFWVN52MRBWOTIK7UGXBWGOY4HBA,2,0002553708,5.0,Mediterranean the Beautiful Cookbook: Authentic Recipes from the Mediterranean Lands
AFWVN52MRBWOTIK7UGXBWGOY4HBA,3,0002554755,5.0,The Best of Waffles & Pancakes
AFWVN52MRBWOTIK7UGXBWGOY4HBA,4,0004356659,5.0,Collins Guide to Scots Kith & Kin: A Guide to the Clans and Surnames of Scotland
AFWVN52MRBWOTIK7UGXBWGOY4HBA,5,0004723023,5.0,Collins Gem Sas Survival Guide
AFWVN52MRBWOTIK7UGXBWGOY4HBA,6,0006363121,5.0,The Picnic and Suchlike Pandemonium
AFWVN52MRBWOTIK7UGXBWGOY4HBA,7,0006364942,5.0,Liverpool Miss
AFWVN52MRBWOTIK7UGXBWGOY4HBA,8,0006388515,5.0,Freedom at Midnight
AFWVN52MRBWOTIK7UGXBWGOY4HBA,9,0006513778,5.0,Hercule Poirot : The Complete Short Stories
AFWVN52MRBWOTIK7UGXBWGOY4HBA,10,0007105045,5.0,Tree and Leaf : Including 'Mythopoeia
AGRCXV4NM763VGZGD6BQ2VGNCJNA,1,000171287X,5.0,The Berenstains' B Book (Bright & Early Books)
AGRCXV4NM763VGZGD6BQ2VGNCJNA,2,0001837397,5.0,Autumn Story: Introduce children to the seasons in the gorgeously illustrated classics of Brambly Hedge!
AGRCXV4NM763VGZGD6BQ2VGNCJNA,3,0001839225,5.0,Spring Story: Introduce children to the seasons in the gorgeously illustrated classics of Brambly Hedge!
AGRCXV4NM763VGZGD6BQ2VGNCJNA,4,0001950584,5.0,The Bayeux Tapestry: The Norman Conquest 1066
AGRCXV4NM763VGZGD6BQ2VGNCJNA,5,0002154463,5.0,"Italy, The Beautiful Cookbook: Authentic Recipes from the Regions of Italy"
AGRCXV4NM763VGZGD6BQ2VGNCJNA,6,0002250616,5.0,Markets of Provence: A Culinary Tour of Southern France
AGRCXV4NM763VGZGD6BQ2VGNCJNA,7,0002251760,5.0,The Forgetting Room
AGRCXV4NM763VGZGD6BQ2VGNCJNA,8,0006162592,5.0,The Golden Rendezvous
AGRCXV4NM763VGZGD6BQ2VGNCJNA,9,0006164811,5.0,Dirty Story: A Further Account of the Life and Adventures of Arthur Abdel Simpson
AGRCXV4NM763VGZGD6BQ2VGNCJNA,10,0006364942,5.0,Liverpool Miss
