User,Method,Rank,Item_ID,Score,Title
AE22236AFRRSMQIKGG7TPTB75QEA,Cascade (CB->CF),1,B08V9HZGJP,4.5714,Billy Summers
AE22236AFRRSMQIKGG7TPTB75QEA,Cascade (CB->CF),2,B00GT1LVKW,4.5714,Shantaram: A Novel
AE22236AFRRSMQIKGG7TPTB75QEA,Cascade (CB->CF),3,B005Q20OBM,4.5714,Reamde
AE22236AFRRSMQIKGG7TPTB75QEA,Cascade (CB->CF),4,B08CS2DJ6T,4.5714,"Warping Minds & Other Misdemeanors: Guild Codex: Warped, Book 1"
AE22236AFRRSMQIKGG7TPTB75QEA,Cascade (CB->CF),5,B00262UAMI,4.5714,Jaws
AE22236AFRRSMQIKGG7TPTB75QEA,Cascade (CB->CF),6,B097CJ8QBM,4.5714,"Soul Taken: A Mercy Thompson Novel, Book 13"
AE22236AFRRSMQIKGG7TPTB75QEA,Cascade (CB->CF),7,B004FI3EBU,4.5714,Red Storm Rising
AE22236AFRRSMQIKGG7TPTB75QEA,Cascade (CB->CF),8,B07N13HRSF,4.5714,"Hell Divers V: Captives: Hell Divers Series, Book 5"
AE22236AFRRSMQIKGG7TPTB75QEA,Cascade (CB->CF),9,B06Y6DJ57T,4.5714,The Silent Corner: A Novel of Suspense
AE22236AFRRSMQIKGG7TPTB75QEA,Cascade (CB->CF),10,B0B29QPQJK,4.5714,Long Shadows
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,Cascade (CB->CF),1,B002U3CCXI,3.8,Resurrection Men: From the iconic #1 bestselling author of A SONG FOR THE DARK TIMES (Inspector Rebus Book 13)
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,Cascade (CB->CF),2,B08QDLXBCS,3.8,Love Death
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,Cascade (CB->CF),3,150824412X,3.8,It: A Novel
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,Cascade (CB->CF),4,1501182099,3.8,It: A Novel
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,Cascade (CB->CF),5,B00U1QRIHG,3.8,Yolo 2: Murda Mami
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,Cascade (CB->CF),6,B09FS9NS76,3.8,d3vils
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,Cascade (CB->CF),7,B0056AEQVI,3.8,Entrapped
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,Cascade (CB->CF),8,B002U3CBQ6,3.8,A Question of Blood: From the iconic #1 bestselling author of A SONG FOR THE DARK TIMES (Inspector Rebus Book 14)
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,Cascade (CB->CF),9,B08YS4ZMNL,3.8,Disavow
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,Cascade (CB->CF),10,B07CT8VJPW,3.8,Cozen
AE222DQMT4CHUOINFJDEIYWZJHJQ,Cascade (CB->CF),1,1451660804,4.6667,11/22/63
AE222DQMT4CHUOINFJDEIYWZJHJQ,Cascade (CB->CF),2,B00U1QRIHG,4.6667,Yolo 2: Murda Mami
AE222DQMT4CHUOINFJDEIYWZJHJQ,Cascade (CB->CF),3,1324001488,4.6667,The Rationing: A Novel
