User,Method,Rank,Item_ID,Score,Title
AE22236AFRRSMQIKGG7TPTB75QEA,Switching (CF),1,0486256979,4.5766,Roberts' Illustrated Millwork Catalog: A Sourcebook of Turn-of-the-Century Architectural Woodwork (Dover Woodworking)
AE22236AFRRSMQIKGG7TPTB75QEA,Switching (CF),2,0553378260,4.5764,Rita Will: Memoir of a Literary Rabble-Rouser
AE22236AFRRSMQIKGG7TPTB75QEA,Switching (CF),3,1496420322,4.5756,The Solid Grounds Coffee Company (The Saturday Night Supper Club)
AE22236AFRRSMQIKGG7TPTB75QEA,Switching (CF),4,1601870159,4.5739,A Toast to Tomorrow (Tommy Hambledon Spy Novels)
AE22236AFRRSMQIKGG7TPTB75QEA,Switching (CF),5,1608868451,4.5739,Jim Henson's Dark Crystal Tales (1)
AE22236AFRRSMQIKGG7TPTB75QEA,Switching (CF),6,1433686201,4.5733,Going Public: Why Baptism Is Required for Church Membership
AE22236AFRRSMQIKGG7TPTB75QEA,Switching (CF),7,B008PGK7EK,4.5727,Trust Your Eyes
AE22236AFRRSMQIKGG7TPTB75QEA,Switching (CF),8,080327811X,4.5726,Local Wonders: Seasons in the Bohemian Alps (American Lives)
AE22236AFRRSMQIKGG7TPTB75QEA,Switching (CF),9,006226835X,4.5721,Yes Please
AE22236AFRRSMQIKGG7TPTB75QEA,Switching (CF),10,B00HHGKA6E,4.572,Ring of Lies
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,Switching (CB),1,1604542543,4.9943,Wayland
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,Switching (CB),2,B08K2LF179,4.9943,The Bluejay Contrivance
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,Switching (CB),3,B00BYEW02M,4.9943,Shadowcursed
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,Switching (CB),4,B08TG7P736,4.9943,The Afterthoughts
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,Switching (CB),5,B09FS9NS76,4.9727,d3vils
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,Switching (CB),6,1933185066,4.9727,Affabel
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,Switching (CB),7,B077NW4SQS,4.9727,Trix
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,Switching (CB),8,B08YS3HNJX,4.9727,We Are 100
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,Switching (CB),9,B00DZEWX4O,4.9647,3 Brinker Novels
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,Switching (CB),10,1609101286,4.9633,Misawa: A Song of the Machi
AE222DQMT4CHUOINFJDEIYWZJHJQ,Switching (CB),1,1604542543,5.4561,Wayland
AE222DQMT4CHUOINFJDEIYWZJHJQ,Switching (CB),2,B08K2LF179,5.4561,The Bluejay Contrivance
AE222DQMT4CHUOINFJDEIYWZJHJQ,Switching (CB),3,B00BYEW02M,5.4561,Shadowcursed
AE222DQMT4CHUOINFJDEIYWZJHJQ,Switching (CB),4,B08TG7P736,5.4561,The Afterthoughts
AE222DQMT4CHUOINFJDEIYWZJHJQ,Switching (CB),5,B09FS9NS76,5.4366,d3vils
AE222DQMT4CHUOINFJDEIYWZJHJQ,Switching (CB),6,1933185066,5.4366,Affabel
AE222DQMT4CHUOINFJDEIYWZJHJQ,Switching (CB),7,B077NW4SQS,5.4366,Trix
AE222DQMT4CHUOINFJDEIYWZJHJQ,Switching (CB),8,B08YS3HNJX,5.4366,We Are 100
AE222DQMT4CHUOINFJDEIYWZJHJQ,Switching (CB),9,086690431X,5.428,The Rulership Book
AE222DQMT4CHUOINFJDEIYWZJHJQ,Switching (CB),10,0441018882,5.428,"Spellcrash (Ravirn, Book 5)"
AE222H3FGXWLHRFUMGMS2RR57NDQ,Switching (CF),1,0553378260,4.3885,Rita Will: Memoir of a Literary Rabble-Rouser
AE222H3FGXWLHRFUMGMS2RR57NDQ,Switching (CF),2,1423492188,4.3814,Easy Guitar Tab White Pages
AE222H3FGXWLHRFUMGMS2RR57NDQ,Switching (CF),3,1411404157,4.3781,Language Arts: Grade 7 (Flash Kids Harcourt Family Learning)
AE222H3FGXWLHRFUMGMS2RR57NDQ,Switching (CF),4,0486256979,4.3774,Roberts' Illustrated Millwork Catalog: A Sourcebook of Turn-of-the-Century Architectural Woodwork (Dover Woodworking)
AE222H3FGXWLHRFUMGMS2RR57NDQ,Switching (CF),5,1433686201,4.3769,Going Public: Why Baptism Is Required for Church Membership
AE222H3FGXWLHRFUMGMS2RR57NDQ,Switching (CF),6,1598725882,4.3769,"Knitting for the Knitting Board, Knitting Loom, Knitting Rake"
AE222H3FGXWLHRFUMGMS2RR57NDQ,Switching (CF),7,1496420322,4.3764,The Solid Grounds Coffee Company (The Saturday Night Supper Club)
AE222H3FGXWLHRFUMGMS2RR57NDQ,Switching (CF),8,B096Z414M3,4.3764,The Books of Jacob: A Novel
AE222H3FGXWLHRFUMGMS2RR57NDQ,Switching (CF),9,B00HHGKA6E,4.3762,Ring of Lies
AE222H3FGXWLHRFUMGMS2RR57NDQ,Switching (CF),10,3791371363,4.3761,13 Art Techniques Children Should Know (13 Children Should Know)
AE222SFRFOAFCUJ3DKA3MVPDP3IA,Switching (CF),1,1601870159,3.8627,A Toast to Tomorrow (Tommy Hambledon Spy Novels)
AE222SFRFOAFCUJ3DKA3MVPDP3IA,Switching (CF),2,1411404157,3.8609,Language Arts: Grade 7 (Flash Kids Harcourt Family Learning)
AE222SFRFOAFCUJ3DKA3MVPDP3IA,Switching (CF),3,0618945393,3.8599,Mariposa Road: The First Butterfly Big Year
AE222SFRFOAFCUJ3DKA3MVPDP3IA,Switching (CF),4,1433686201,3.8599,Going Public: Why Baptism Is Required for Church Membership
AE222SFRFOAFCUJ3DKA3MVPDP3IA,Switching (CF),5,1598725882,3.8589,"Knitting for the Knitting Board, Knitting Loom, Knitting Rake"
AE222SFRFOAFCUJ3DKA3MVPDP3IA,Switching (CF),6,0263910466,3.8585,SLEIGH BELLS IN_SNOW CRYST1 PB
AE222SFRFOAFCUJ3DKA3MVPDP3IA,Switching (CF),7,0553378260,3.8583,Rita Will: Memoir of a Literary Rabble-Rouser
AE222SFRFOAFCUJ3DKA3MVPDP3IA,Switching (CF),8,006226835X,3.858,Yes Please
AE222SFRFOAFCUJ3DKA3MVPDP3IA,Switching (CF),9,0805097902,3.8578,Rapunzel: Les Petits Fairytales
AE222SFRFOAFCUJ3DKA3MVPDP3IA,Switching (CF),10,B008PGK7EK,3.8577,Trust Your Eyes
