User,Method,Rank,Item_ID,Score,Title
AE22236AFRRSMQIKGG7TPTB75QEA,Weighted (alpha=0.3),1,B097CJ8QBM,1.7869,"Soul Taken: A Mercy Thompson Novel, Book 13"
AE22236AFRRSMQIKGG7TPTB75QEA,Weighted (alpha=0.3),2,B074MGYBSG,1.7842,The Rebels of Cordovia
AE22236AFRRSMQIKGG7TPTB75QEA,Weighted (alpha=0.3),3,B01N1V3093,1.7837,The Final Day
AE22236AFRRSMQIKGG7TPTB75QEA,Weighted (alpha=0.3),4,B074F3VXJ7,1.7813,"Typhoon Fury: The Oregon Files, Book 12"
AE22236AFRRSMQIKGG7TPTB75QEA,Weighted (alpha=0.3),5,B00U7TZZRM,1.7798,Jurassic Park: A Novel
AE22236AFRRSMQIKGG7TPTB75QEA,Weighted (alpha=0.3),6,B00SNM5552,1.7772,"Shogun: The Epic Novel of Japan: The Asian Saga, Book 1"
AE22236AFRRSMQIKGG7TPTB75QEA,Weighted (alpha=0.3),7,B089DMG5M6,1.7768,The President's Daughter: A Thriller
AE22236AFRRSMQIKGG7TPTB75QEA,Weighted (alpha=0.3),8,B0B29QPQJK,1.7756,Long Shadows
AE22236AFRRSMQIKGG7TPTB75QEA,Weighted (alpha=0.3),9,B09X295Y68,1.7755,Desert Star
AE22236AFRRSMQIKGG7TPTB75QEA,Weighted (alpha=0.3),10,B004FI3EBU,1.7747,Red Storm Rising
AE22236AFRRSMQIKGG7TPTB75QEA,Weighted (alpha=0.5),1,B097CJ8QBM,2.3829,"Soul Taken: A Mercy Thompson Novel, Book 13"
AE22236AFRRSMQIKGG7TPTB75QEA,Weighted (alpha=0.5),2,B074MGYBSG,2.3785,The Rebels of Cordovia
AE22236AFRRSMQIKGG7TPTB75QEA,Weighted (alpha=0.5),3,B01N1V3093,2.3775,The Final Day
AE22236AFRRSMQIKGG7TPTB75QEA,Weighted (alpha=0.5),4,B074F3VXJ7,2.3736,"Typhoon Fury: The Oregon Files, Book 12"
AE22236AFRRSMQIKGG7TPTB75QEA,Weighted (alpha=0.5),5,B00U7TZZRM,2.3711,Jurassic Park: A Novel
AE22236AFRRSMQIKGG7TPTB75QEA,Weighted (alpha=0.5),6,B00SNM5552,2.3668,"Shogun: The Epic Novel of Japan: The Asian Saga, Book 1"
AE22236AFRRSMQIKGG7TPTB75QEA,Weighted (alpha=0.5),7,B089DMG5M6,2.3661,The President's Daughter: A Thriller
AE22236AFRRSMQIKGG7TPTB75QEA,Weighted (alpha=0.5),8,B0B29QPQJK,2.3642,Long Shadows
AE22236AFRRSMQIKGG7TPTB75QEA,Weighted (alpha=0.5),9,B09X295Y68,2.3639,Desert Star
AE22236AFRRSMQIKGG7TPTB75QEA,Weighted (alpha=0.5),10,B004FI3EBU,2.3626,Red Storm Rising
AE22236AFRRSMQIKGG7TPTB75QEA,Weighted (alpha=0.7),1,B097CJ8QBM,2.9789,"Soul Taken: A Mercy Thompson Novel, Book 13"
AE22236AFRRSMQIKGG7TPTB75QEA,Weighted (alpha=0.7),2,B074MGYBSG,2.9727,The Rebels of Cordovia
AE22236AFRRSMQIKGG7TPTB75QEA,Weighted (alpha=0.7),3,B01N1V3093,2.9714,The Final Day
AE22236AFRRSMQIKGG7TPTB75QEA,Weighted (alpha=0.7),4,B074F3VXJ7,2.9659,"Typhoon Fury: The Oregon Files, Book 12"
AE22236AFRRSMQIKGG7TPTB75QEA,Weighted (alpha=0.7),5,B00U7TZZRM,2.9623,Jurassic Park: A Novel
AE22236AFRRSMQIKGG7TPTB75QEA,Weighted (alpha=0.7),6,B00SNM5552,2.9564,"Shogun: The Epic Novel of Japan: The Asian Saga, Book 1"
AE22236AFRRSMQIKGG7TPTB75QEA,Weighted (alpha=0.7),7,B089DMG5M6,2.9554,The President's Daughter: A Thriller
AE22236AFRRSMQIKGG7TPTB75QEA,Weighted (alpha=0.7),8,B0B29QPQJK,2.9527,Long Shadows
AE22236AFRRSMQIKGG7TPTB75QEA,Weighted (alpha=0.7),9,B09X295Y68,2.9523,Desert Star
AE22236AFRRSMQIKGG7TPTB75QEA,Weighted (alpha=0.7),10,B004FI3EBU,2.9505,Red Storm Rising
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,Weighted (alpha=0.3),1,1604542543,1.9883,Wayland
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,Weighted (alpha=0.3),2,B08K2LF179,1.9883,The Bluejay Contrivance
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,Weighted (alpha=0.3),3,B00BYEW02M,1.9883,Shadowcursed
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,Weighted (alpha=0.3),4,B08TG7P736,1.9883,The Afterthoughts
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,Weighted (alpha=0.3),5,B09FS9NS76,1.9818,d3vils
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,Weighted (alpha=0.3),6,1933185066,1.9818,Affabel
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,Weighted (alpha=0.3),7,B077NW4SQS,1.9818,Trix
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,Weighted (alpha=0.3),8,B08YS3HNJX,1.9818,We Are 100
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,Weighted (alpha=0.3),9,B00DZEWX4O,1.9794,3 Brinker Novels
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,Weighted (alpha=0.3),10,1609101286,1.979,Misawa: A Song of the Machi
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,Weighted (alpha=0.5),1,1604542543,2.8472,Wayland
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,Weighted (alpha=0.5),2,B08K2LF179,2.8472,The Bluejay Contrivance
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,Weighted (alpha=0.5),3,B00BYEW02M,2.8472,Shadowcursed
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,Weighted (alpha=0.5),4,B08TG7P736,2.8472,The Afterthoughts
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,Weighted (alpha=0.5),5,B09FS9NS76,2.8363,d3vils
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,Weighted (alpha=0.5),6,1933185066,2.8363,Affabel
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,Weighted (alpha=0.5),7,B077NW4SQS,2.8363,Trix
