item_id,interaction_count
B00L9B7IKE,12526
B00JO8PEN2,8691
B006LSZECO,8184
B00DPM7TIG,7127
B00CNQ7HAU,5368
B016ZNRC0Q,4428
B00C2WDD5I,3671
B00YTXTIDO,3643
B06Y1264PX,3479
B01COJUEZ0,3404
B019G6DSDE,3209
B00UEKRTW8,3187
B007SGLZP8,3127
B00AA20E5Y,3113
0735219095,3105
B072BLVM83,3064
B07415PPP1,2921
B01C1LUFFK,2915
B01L1CEZ6K,2907
B00K7MCE3C,2832
B01KXQ8SS6,2831
B01BU1ITMI,2826
B01B1OGQH4,2804
B016JC0THQ,2794
B01M7XPGYE,2606
B00GEEB52S,2554
B0050DIWFC,2544
B074QL7WNM,2362
B01MYDJB6R,2332
B07DHMNY7H,2296
0312510780,2253
B00GU2RLMC,2239
B07416NFHL,2235
B0027MJU00,2220
B07D2C6J4K,2217
B00H58VGIA,2188
B00IJJUIMY,2180
B06Y55Z36S,2176
B0146LBFIE,2162
1607747308,2124
B00A6JLDJ2,2108
1594633665,2060
1476746583,2056
030758836X,1985
B01EN506CO,1964
B078JG8M8P,1942
B00ZETXO0K,1936
1476738025,1924
B011G3HI9U,1923
B00SLWQGUM,1910
B00U6DNY5O,1888
B00O2BKKUS,1887
B00DPM90C4,1872
B00PG8UCGS,1863
B00UCLPCE6,1853
0375842209,1829
0545392551,1816
B00INIQTY2,1809
B000OZ0NXA,1809
B00NMPN46W,1794
0545261244,1790
B007FEFLTO,1727
B00S5K0CAU,1711
B0052RDHTM,1692
1524763136,1684
B00P42WROG,1665
B00BAXFACO,1660
B00HNFD9VC,1654
1338099132,1649
1780671067,1644
B01FQLZS1S,1636
0062409859,1636
0399226907,1631
B017RBIZGK,1630
B01MUDRSND,1624
B006VFLIYK,1609
B00ALI9TSK,1586
B00IJJUIOM,1579
0439023521,1575
B06W9NKRXG,1566
0061950726,1553
0399255370,1545
0920668372,1532
B00FJ3AC10,1521
0800788036,1521
B00DMCPQUW,1506
B01D4O804G,1496
0345803485,1492
B00IRIR7K8,1484
B0151YQUTE,1478
0312577222,1477
B00U6DNZOY,1471
B00RTY0VSG,1463
B00FN2KR3U,1457
0439023513,1449
B01LZFL63S,1447
B008J48RA4,1441
B019DKO5BM,1439
B00F0XDNW4,1426
B0141ZP33S,1425
B07R3QYGHY,1424
B004TI5N38,1422
B01N5I5EV7,1420
B012W7BC5K,1394
0553418025,1391
B00Y21VGYW,1387
B07Y8HKVGJ,1387
074324754X,1384
B07F6C3YYL,1379
0964729237,1377
B00UDCI7RI,1366
B01DF0TM1Y,1364
B007GFGTAW,1363
B08X48G5VL,1360
B01COJUGOE,1355
B00AESRRQS,1350
B00GM54GGQ,1346
0486789640,1345
141694737X,1344
B004AYDC9I,1342
0803741715,1339
B0796R3RR4,1335
B0167CNCFY,1332
B0076DELIG,1329
B008EKMBW8,1328
0679805273,1319
1780674880,1315
B07D6PZ6P1,1314
B00IB5BSBG,1304
B083J7QQ89,1302
0307887448,1299
0062300547,1299
B07R29FDQD,1298
0671449028,1295
B008TUQZXO,1279
B00ZP4KE70,1276
B00LTBWMVO,1262
B001NHNG64,1262
0316055433,1249
B00BAXFAVK,1246
B087PKF9LZ,1243
B00G3L6KQI,1238
0399590501,1238
B00R04GCMY,1235
B00VES8D6K,1227
B07HQ5S1NW,1222
B01BD1SSA8,1219
1250301696,1218
1451695195,1215
B001JJBLSQ,1214
B07FTBNVGK,1207
B00RPM9MJ6,1201
