Rank,User,Item_ID,Predicted_Rating,Title,Method
1,AG473D27NAWRW3N2RMWVYZ6ICBTA,B00EVH1GZ6,5.0,What A Meth: Gotcha Detective Agency Mystery Book 4,Item-KNN (k=20)
2,AG473D27NAWRW3N2RMWVYZ6ICBTA,0063135949,5.0,"The Lighthouse on Moonglow Bay: A Novel (Moonglow Cove, 3)",Item-KNN (k=20)
3,AG473D27NAWRW3N2RMWVYZ6ICBTA,0393318680,5.0,Filth,Item-KNN (k=20)
4,AG473D27NAWRW3N2RMWVYZ6ICBTA,1982166398,5.0,Sleeping Bear: A Thriller,Item-KNN (k=20)
5,AG473D27NAWRW3N2RMWVYZ6ICBTA,0679740422,5.0,Where the Suckers Moon: The Life and Death of an Advertising Campaign,Item-KNN (k=20)
6,AG473D27NAWRW3N2RMWVYZ6ICBTA,1420143778,5.0,Pretend You're Safe (The Agency),Item-KNN (k=20)
7,AG473D27NAWRW3N2RMWVYZ6ICBTA,B09NRG2D7Z,4.0,Wood's Dilemma: Action and Adventure in the Florida Keys (Mac Travis Adventure Thrillers),Item-KNN (k=20)
8,AG473D27NAWRW3N2RMWVYZ6ICBTA,0262014696,4.0,Networks of the Brain (MIT Press),Item-KNN (k=20)
9,AG473D27NAWRW3N2RMWVYZ6ICBTA,B079QJ5JZK,4.0,The Last Rainmaker (Jack Widow Book 9),Item-KNN (k=20)
10,AG473D27NAWRW3N2RMWVYZ6ICBTA,1572225173,4.0,Brain (Quick Study Academic),Item-KNN (k=20)
11,AG473D27NAWRW3N2RMWVYZ6ICBTA,B08231ZVL1,4.0,Lost Soul (War of Destiny Book 1),Item-KNN (k=20)
12,AG473D27NAWRW3N2RMWVYZ6ICBTA,1455519634,4.0,"A Darkness More Than Night (A Harry Bosch Novel, 7)",Item-KNN (k=20)
13,AG473D27NAWRW3N2RMWVYZ6ICBTA,0857669818,4.0,Full Immersion,Item-KNN (k=20)
14,AG473D27NAWRW3N2RMWVYZ6ICBTA,0345549090,4.0,Ruin Falls: A Novel,Item-KNN (k=20)
15,AG473D27NAWRW3N2RMWVYZ6ICBTA,1501178954,4.0,Every Day Is Extra,Item-KNN (k=20)
16,AG473D27NAWRW3N2RMWVYZ6ICBTA,B01JVS6XXE,4.0,Creatures,Item-KNN (k=20)
17,AG473D27NAWRW3N2RMWVYZ6ICBTA,B0C2RX98NB,4.0,Legacy in Ruin (Children of the Fallen),Item-KNN (k=20)
18,AG473D27NAWRW3N2RMWVYZ6ICBTA,1934964891,4.0,Stumptown Volume 2,Item-KNN (k=20)
19,AG473D27NAWRW3N2RMWVYZ6ICBTA,B000N0WTHY,4.0,A False Mirror: An Inspector Ian Rutledge Mystery,Item-KNN (k=20)
20,AG473D27NAWRW3N2RMWVYZ6ICBTA,B092NYBM4Q,4.0,Dead Silence,Item-KNN (k=20)
