Rank,User,Item_ID,Predicted_Rating,Title,Method
1,AGRCXV4NM763VGZGD6BQ2VGNCJNA,1600662269,5.0,The Radical Cross: Living the Passion of Christ,Item-KNN (k=20)
2,AGRCXV4NM763VGZGD6BQ2VGNCJNA,1601424698,5.0,Knowing God by Name: A Girlfriends in God Faith Adventure,Item-KNN (k=20)
3,AGRCXV4NM763VGZGD6BQ2VGNCJNA,0802408737,5.0,Luke 11-17 MacArthur New Testament Commentary (Volume 9) (MacArthur New Testament Commentary Series),Item-KNN (k=20)
4,AGRCXV4NM763VGZGD6BQ2VGNCJNA,0785265813,5.0,Praying God's Will for My Daughter,Item-KNN (k=20)
5,AGRCXV4NM763VGZGD6BQ2VGNCJNA,1118303598,5.0,Immortal Diamond: The Search for Our True Self,Item-KNN (k=20)
6,AGRCXV4NM763VGZGD6BQ2VGNCJNA,1741044553,5.0,Iceland (Lonely Planet Country Guide),Item-KNN (k=20)
7,AGRCXV4NM763VGZGD6BQ2VGNCJNA,0892963190,5.0,Why Jesus?: Rediscovering His Truth in an Age of Mass Marketed Spirituality,Item-KNN (k=20)
8,AGRCXV4NM763VGZGD6BQ2VGNCJNA,1434767469,5.0,Be Dynamic (Acts 1-12): Experience the Power of God's People (The BE Series Commentary),Item-KNN (k=20)
9,AGRCXV4NM763VGZGD6BQ2VGNCJNA,0310210844,5.0,Safe People: How to Find Relationships That Are Good for You and Avoid Those That Aren't,Item-KNN (k=20)
10,AGRCXV4NM763VGZGD6BQ2VGNCJNA,1558745262,5.0,The Betrayal Bond: Breaking Free of Exploitive Relationships,Item-KNN (k=20)
11,AGRCXV4NM763VGZGD6BQ2VGNCJNA,0399167641,5.0,The Lady from Zagreb (A Bernie Gunther Novel),Item-KNN (k=20)
12,AGRCXV4NM763VGZGD6BQ2VGNCJNA,0830822909,5.0,My Heart--Christ's Home: A Story for Young & Old -Miniature Gift Edition,Item-KNN (k=20)
13,AGRCXV4NM763VGZGD6BQ2VGNCJNA,1786573229,5.0,Lonely Planet Portugal (Country Guide),Item-KNN (k=20)
14,AGRCXV4NM763VGZGD6BQ2VGNCJNA,1593872860,5.0,What If Jesus Meant What He Said?,Item-KNN (k=20)
15,AGRCXV4NM763VGZGD6BQ2VGNCJNA,0830845666,5.0,Brave Souls: Experiencing the Audacious Power of Empathy,Item-KNN (k=20)
16,AGRCXV4NM763VGZGD6BQ2VGNCJNA,1416559019,5.0,The Power of Body Language,Item-KNN (k=20)
17,AGRCXV4NM763VGZGD6BQ2VGNCJNA,1742200486,5.0,Lonely Planet Sicily (Travel Guide),Item-KNN (k=20)
18,AGRCXV4NM763VGZGD6BQ2VGNCJNA,0671733354,5.0,How to Stop Worrying and Start Living,Item-KNN (k=20)
19,AGRCXV4NM763VGZGD6BQ2VGNCJNA,0802811477,5.0,"""Fundamentalism"" and the Word of God",Item-KNN (k=20)
20,AGRCXV4NM763VGZGD6BQ2VGNCJNA,0802441564,5.0,An Introduction to the Old Testament Pentateuch,Item-KNN (k=20)
