Rank,User,Item_ID,Predicted_Rating,Title,Method
1,AGSP6LSQK32SQEJO3YVVNACPWMSQ,1936746247,5.0,Life's a Pain,Item-KNN (k=20)
2,AGSP6LSQK32SQEJO3YVVNACPWMSQ,1601422210,5.0,Radical: Taking Back Your Faith from the American Dream,Item-KNN (k=20)
3,AGSP6LSQK32SQEJO3YVVNACPWMSQ,0738718548,5.0,Tarot of the Sweet Twilight (English and Spanish Edition),Item-KNN (k=20)
4,AGSP6LSQK32SQEJO3YVVNACPWMSQ,1556611501,5.0,Eric Liddell (Men of Faith),Item-KNN (k=20)
5,AGSP6LSQK32SQEJO3YVVNACPWMSQ,1600063012,5.0,"Refractions: A Journey of Faith, Art, and Culture",Item-KNN (k=20)
6,AGSP6LSQK32SQEJO3YVVNACPWMSQ,0545918162,5.0,"Third Grade Mermaid (Third Grade Mermaid, 1)",Item-KNN (k=20)
7,AGSP6LSQK32SQEJO3YVVNACPWMSQ,1845972066,5.0,Afternoon Tea,Item-KNN (k=20)
8,AGSP6LSQK32SQEJO3YVVNACPWMSQ,0736973133,5.0,Unblinded Faith,Item-KNN (k=20)
9,AGSP6LSQK32SQEJO3YVVNACPWMSQ,0892963190,5.0,Why Jesus?: Rediscovering His Truth in an Age of Mass Marketed Spirituality,Item-KNN (k=20)
10,AGSP6LSQK32SQEJO3YVVNACPWMSQ,1483812022,5.0,"Spectrum 7th Grade Writing Workbooks, Ages 12 to 13, 7th Grade Writing, Informative, Argumentative, Comparative, and Fiction Story Writing Prompts, Writing Practice for Kids - 136 Pages",Item-KNN (k=20)
11,AGSP6LSQK32SQEJO3YVVNACPWMSQ,1483813053,5.0,Complete Book of Grade K,Item-KNN (k=20)
12,AGSP6LSQK32SQEJO3YVVNACPWMSQ,1948174758,5.0,"Cooking for Wizards, Warriors and Dragons: 125 unofficial recipes inspired by The Witcher, Game of Thrones, The Broken Earth and other fantasy favorites",Item-KNN (k=20)
13,AGSP6LSQK32SQEJO3YVVNACPWMSQ,0830845127,5.0,"Single, Gay, Christian: A Personal Journey of Faith and Sexual Identity",Item-KNN (k=20)
14,AGSP6LSQK32SQEJO3YVVNACPWMSQ,1401906982,5.0,Your Immortal Reality: How to Break the Cycle of Birth and Death,Item-KNN (k=20)
15,AGSP6LSQK32SQEJO3YVVNACPWMSQ,1578634938,5.0,Who Are You in the Tarot?: Discover Your Birth and Year Cards and Uncover Your Destiny,Item-KNN (k=20)
16,AGSP6LSQK32SQEJO3YVVNACPWMSQ,073876731X,5.0,Heaven & Earth Tarot Kit,Item-KNN (k=20)
17,AGSP6LSQK32SQEJO3YVVNACPWMSQ,140195121X,5.0,Animal Tarot Cards: A 78-card Deck and Guidebook,Item-KNN (k=20)
18,AGSP6LSQK32SQEJO3YVVNACPWMSQ,047067895X,5.0,Home Winemaking For Dummies,Item-KNN (k=20)
19,AGSP6LSQK32SQEJO3YVVNACPWMSQ,0399582533,5.0,Batch Cocktails: Make-Ahead Pitcher Drinks for Every Occasion,Item-KNN (k=20)
20,AGSP6LSQK32SQEJO3YVVNACPWMSQ,1784721476,5.0,Hugh Johnson's Pocket Wine 2017: 40th Anniversary,Item-KNN (k=20)
