Rank,User,Item_ID,Score,Title,Category
1,Cold_Start_User,1604542543,2.430895,Wayland,"['Books', 'Mystery, Thriller & Suspense', 'Thrillers & Suspense']"
2,Cold_Start_User,B08K2LF179,2.430894,The Bluejay Contrivance,"['Books', 'Mystery, Thriller & Suspense', 'Thrillers & Suspense']"
3,Cold_Start_User,B00BYEW02M,2.430894,Shadowcursed,"['Books', 'Mystery, Thriller & Suspense', 'Thrillers & Suspense']"
4,Cold_Start_User,B08TG7P736,2.430894,The Afterthoughts,"['Books', 'Mystery, Thriller & Suspense', 'Thrillers & Suspense']"
5,Cold_Start_User,B09FS9NS76,2.419492,d3vils,"['Books', 'Mystery, Thriller & Suspense', 'Thrillers & Suspense']"
6,Cold_Start_User,1933185066,2.419492,Affabel,"['Books', 'Mystery, Thriller & Suspense', 'Thrillers & Suspense']"
7,Cold_Start_User,B077NW4SQS,2.419492,Trix,"['Books', 'Mystery, Thriller & Suspense', 'Thrillers & Suspense']"
8,Cold_Start_User,B08YS3HNJX,2.419491,We Are 100,"['Books', 'Mystery, Thriller & Suspense', 'Thrillers & Suspense']"
9,Cold_Start_User,1501175467,2.413282,It: A Novel,"['Books', 'Mystery, Thriller & Suspense', 'Thrillers & Suspense']"
10,Cold_Start_User,1501182099,2.413282,It: A Novel,"['Books', 'Mystery, Thriller & Suspense', 'Thrillers & Suspense']"
11,Cold_Start_User,1982127791,2.413282,It: A Novel,"['Books', 'Mystery, Thriller & Suspense', 'Thrillers & Suspense']"
12,Cold_Start_User,150824412X,2.413281,It: A Novel,"['Books', 'Mystery, Thriller & Suspense', 'Thrillers & Suspense']"
13,Cold_Start_User,B00DZEWX4O,2.410254,3 Brinker Novels,"['Books', 'Mystery, Thriller & Suspense', 'Thrillers & Suspense']"
14,Cold_Start_User,0394560884,2.40809,The Berkut,"['Books', 'Mystery, Thriller & Suspense', 'Thrillers & Suspense']"
15,Cold_Start_User,B0B5KJWLMB,2.40809,Because of Me,"['Books', 'Mystery, Thriller & Suspense', 'Thrillers & Suspense']"
16,Cold_Start_User,1680470302,2.408089,Failsafe,"['Books', 'Mystery, Thriller & Suspense', 'Thrillers & Suspense']"
17,Cold_Start_User,1462117287,2.408089,The Cenote,"['Books', 'Mystery, Thriller & Suspense', 'Thrillers & Suspense']"
18,Cold_Start_User,B0172NFJ30,2.408089,The Cenote,"['Books', 'Mystery, Thriller & Suspense', 'Thrillers & Suspense']"
19,Cold_Start_User,B07CT8VJPW,2.408089,Cozen,"['Books', 'Mystery, Thriller & Suspense', 'Thrillers & Suspense']"
20,Cold_Start_User,B00LEPOJHK,2.408089,Gwyneth,"['Books', 'Mystery, Thriller & Suspense', 'Thrillers & Suspense']"
