Rank,User,Item_ID,Score,Title,Category
1,User_AG473D27NAWRW3N2RMWVYZ6ICBTA,B00DR0A5NW,2.30218,The Shack,"['Audible Books & Originals', 'Literature & Fiction', 'Genre Fiction', 'Christian Fiction', 'Thriller & Suspense']"
2,User_AG473D27NAWRW3N2RMWVYZ6ICBTA,B097CJ8QBM,2.263165,"Soul Taken: A Mercy Thompson Novel, Book 13","['Books', 'Literature & Fiction', 'Action & Adventure', 'Mystery, Thriller & Suspense', 'Mystery']"
3,User_AG473D27NAWRW3N2RMWVYZ6ICBTA,B07M5HSSFN,2.261287,"Gelato with a Side of Murder: Daley Buzz Cozy Mystery, Book 8","['Audible Books & Originals', 'Literature & Fiction', 'Genre Fiction', 'Christian Fiction', 'Thriller & Suspense']"
4,User_AG473D27NAWRW3N2RMWVYZ6ICBTA,B00U7TZZRM,2.261246,Jurassic Park: A Novel,"['Books', 'Literature & Fiction', 'Action & Adventure', 'Mystery, Thriller & Suspense', 'Mystery']"
5,User_AG473D27NAWRW3N2RMWVYZ6ICBTA,B074MGYBSG,2.261191,The Rebels of Cordovia,"['Books', 'Literature & Fiction', 'Action & Adventure', 'Mystery, Thriller & Suspense', 'Thriller & Suspense']"
6,User_AG473D27NAWRW3N2RMWVYZ6ICBTA,B01N1V3093,2.260476,The Final Day,"['Books', 'Literature & Fiction', 'Action & Adventure', 'Mystery, Thriller & Suspense', 'Thriller & Suspense']"
7,User_AG473D27NAWRW3N2RMWVYZ6ICBTA,B079VQN8TV,2.256017,The Other Woman: A Novel,"['Books', 'Literature & Fiction', 'Action & Adventure', 'Mystery, Thriller & Suspense', 'Mystery']"
8,User_AG473D27NAWRW3N2RMWVYZ6ICBTA,B00GT1LVKW,2.251699,Shantaram: A Novel,"['Books', 'Literature & Fiction', 'Action & Adventure', 'Mystery, Thriller & Suspense', 'Thriller & Suspense']"
9,User_AG473D27NAWRW3N2RMWVYZ6ICBTA,B09X295Y68,2.246458,Desert Star,"['Books', 'Literature & Fiction', 'Action & Adventure', 'Mystery, Thriller & Suspense', 'Crime']"
10,User_AG473D27NAWRW3N2RMWVYZ6ICBTA,B00SNM5552,2.244352,"Shogun: The Epic Novel of Japan: The Asian Saga, Book 1","['Books', 'Literature & Fiction', 'Action & Adventure', 'Mystery, Thriller & Suspense', 'Mystery']"
11,User_AG473D27NAWRW3N2RMWVYZ6ICBTA,B089DMG5M6,2.243226,The President's Daughter: A Thriller,"['Books', 'Literature & Fiction', 'Action & Adventure', 'Mystery, Thriller & Suspense', 'Mystery']"
12,User_AG473D27NAWRW3N2RMWVYZ6ICBTA,B0B29QPQJK,2.243062,Long Shadows,"['Books', 'Literature & Fiction', 'Action & Adventure', 'Mystery, Thriller & Suspense', 'Mystery']"
13,User_AG473D27NAWRW3N2RMWVYZ6ICBTA,B01B8IGWNG,2.240262,Back Blast: A Gray Man Novel,"['Books', 'Literature & Fiction', 'Action & Adventure', 'Mystery, Thriller & Suspense', 'Mystery']"
14,User_AG473D27NAWRW3N2RMWVYZ6ICBTA,B000ALAL62,2.239793,No Country for Old Men,"['Books', 'Literature & Fiction', 'Action & Adventure', 'Mystery, Thriller & Suspense', 'Mystery']"
15,User_AG473D27NAWRW3N2RMWVYZ6ICBTA,B095DVCCMM,2.23937,Mercy,"['Books', 'Literature & Fiction', 'Action & Adventure', 'Mystery, Thriller & Suspense', 'Crime']"
16,User_AG473D27NAWRW3N2RMWVYZ6ICBTA,B005Q20OBM,2.239144,Reamde,"['Books', 'Literature & Fiction', 'Action & Adventure', 'Mystery, Thriller & Suspense', 'Mystery']"
17,User_AG473D27NAWRW3N2RMWVYZ6ICBTA,B07Z5GKM8F,2.238936,The Order: A Novel,"['Books', 'Literature & Fiction', 'Action & Adventure', 'Mystery, Thriller & Suspense', 'Mystery']"
18,User_AG473D27NAWRW3N2RMWVYZ6ICBTA,B004FI3EBU,2.236956,Red Storm Rising,"['Books', 'Literature & Fiction', 'Action & Adventure', 'Mystery, Thriller & Suspense', 'Mystery']"
19,User_AG473D27NAWRW3N2RMWVYZ6ICBTA,B00FY5JEXK,2.234543,Spirit of Steamboat: A Walt Longmire Story,"['Books', 'Literature & Fiction', 'Action & Adventure', 'Mystery, Thriller & Suspense', 'Mystery']"
20,User_AG473D27NAWRW3N2RMWVYZ6ICBTA,B07PZX25K8,2.234394,Unsolved,"['Books', 'Literature & Fiction', 'Action & Adventure', 'Mystery, Thriller & Suspense', 'Crime']"
