Rank,User,Item_ID,Score,Title,Category
1,User_AGSP6LSQK32SQEJO3YVVNACPWMSQ,B00DR0A5NW,1.901102,The Shack,"['Audible Books & Originals', 'Literature & Fiction', 'Genre Fiction', 'Christian Fiction', 'Thriller & Suspense']"
2,User_AGSP6LSQK32SQEJO3YVVNACPWMSQ,0070648859,1.881932,Anatole and the Toyshop,"['Books', ""Children's Books"", 'Literature & Fiction']"
3,User_AGSP6LSQK32SQEJO3YVVNACPWMSQ,0688008771,1.866108,The Bedspread,"['Books', ""Children's Books"", 'Literature & Fiction']"
4,User_AGSP6LSQK32SQEJO3YVVNACPWMSQ,1567690785,1.866108,The Lightlings,"['Books', ""Children's Books"", 'Literature & Fiction']"
5,User_AGSP6LSQK32SQEJO3YVVNACPWMSQ,071804987X,1.866106,I Prayed for You,"['Books', ""Children's Books"", 'Literature & Fiction']"
6,User_AGSP6LSQK32SQEJO3YVVNACPWMSQ,B00A6T0UCS,1.866106,Jamberry,"['Books', ""Children's Books"", 'Literature & Fiction']"
7,User_AGSP6LSQK32SQEJO3YVVNACPWMSQ,B0BDXZKHBZ,1.866105,Emolecipation,"['Books', ""Children's Books"", 'Literature & Fiction']"
8,User_AGSP6LSQK32SQEJO3YVVNACPWMSQ,B07M5HSSFN,1.86146,"Gelato with a Side of Murder: Daley Buzz Cozy Mystery, Book 8","['Audible Books & Originals', 'Literature & Fiction', 'Genre Fiction', 'Christian Fiction', 'Thriller & Suspense']"
9,User_AGSP6LSQK32SQEJO3YVVNACPWMSQ,0786800607,1.859802,The Farolitos of Christmas,"['Books', ""Children's Books"", 'Literature & Fiction']"
10,User_AGSP6LSQK32SQEJO3YVVNACPWMSQ,0394800931,1.858732,My Book About Me,"['Books', ""Children's Books"", 'Literature & Fiction']"
11,User_AGSP6LSQK32SQEJO3YVVNACPWMSQ,B008H7XF8W,1.858644,Stryx,"['Books', 'Literature & Fiction', 'Genre Fiction']"
12,User_AGSP6LSQK32SQEJO3YVVNACPWMSQ,B00EUM59XM,1.858644,3,"['Books', 'Literature & Fiction', 'Genre Fiction']"
13,User_AGSP6LSQK32SQEJO3YVVNACPWMSQ,1934813028,1.857003,Between Us Baxters,"['Books', ""Children's Books"", 'Literature & Fiction']"
14,User_AGSP6LSQK32SQEJO3YVVNACPWMSQ,0590960679,1.856677,"Wriggly, Wriggly Baby","['Books', ""Children's Books"", 'Literature & Fiction']"
15,User_AGSP6LSQK32SQEJO3YVVNACPWMSQ,1455625299,1.855564,Praline Lady,"['Books', ""Children's Books"", 'Literature & Fiction']"
16,User_AGSP6LSQK32SQEJO3YVVNACPWMSQ,1576879941,1.854314,I Am Today,"['Books', ""Children's Books"", 'Literature & Fiction']"
17,User_AGSP6LSQK32SQEJO3YVVNACPWMSQ,B0BS3QGKF5,1.85218,A Child’s Love,"['Books', ""Children's Books"", 'Literature & Fiction']"
18,User_AGSP6LSQK32SQEJO3YVVNACPWMSQ,B08432BFQ6,1.850454,Bob and the Bobbies,"['Books', ""Children's Books"", 'Literature & Fiction']"
19,User_AGSP6LSQK32SQEJO3YVVNACPWMSQ,0399232273,1.850285,Coolies,"['Books', ""Children's Books"", 'Literature & Fiction']"
20,User_AGSP6LSQK32SQEJO3YVVNACPWMSQ,1595147004,1.850284,Wanderville,"['Books', ""Children's Books"", 'Literature & Fiction']"
