User,Rank,Item_ID,Predicted_Rating,Title,Method
AE22236AFRRSMQIKGG7TPTB75QEA,1,B00AA20E5Y,4.5766,The Cuckoo's Calling (Cormoran Strike Book 1),SVD (k=20)
AE22236AFRRSMQIKGG7TPTB75QEA,2,B01COJUEZ0,4.5764,A Gentleman in Moscow: A Novel,SVD (k=20)
AE22236AFRRSMQIKGG7TPTB75QEA,3,B00DPM7TIG,4.5756,All the Light We Cannot See: A Novel,SVD (k=20)
AE22236AFRRSMQIKGG7TPTB75QEA,4,1594633665,4.5739,The Girl on the Train,SVD (k=20)
AE22236AFRRSMQIKGG7TPTB75QEA,5,B006LSZECO,4.5739,Gone Girl: A Novel,SVD (k=20)
AE22236AFRRSMQIKGG7TPTB75QEA,6,1607747308,4.5733,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,SVD (k=20)
AE22236AFRRSMQIKGG7TPTB75QEA,7,B016ZNRC0Q,4.5727,The Butterfly Garden (The Collector Book 1),SVD (k=20)
AE22236AFRRSMQIKGG7TPTB75QEA,8,1338099132,4.5726,"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script",SVD (k=20)
AE22236AFRRSMQIKGG7TPTB75QEA,9,0399155341,4.5721,The Help,SVD (k=20)
AE22236AFRRSMQIKGG7TPTB75QEA,10,B072BLVM83,4.572,Educated: A Memoir,SVD (k=20)
AE22236AFRRSMQIKGG7TPTB75QEA,11,0439023513,4.5719,Mockingjay (The Hunger Games),SVD (k=20)
AE22236AFRRSMQIKGG7TPTB75QEA,12,0439023483,4.5718,The Hunger Games,SVD (k=20)
AE22236AFRRSMQIKGG7TPTB75QEA,13,0439023491,4.5718,"Catching Fire (Hunger Games, Book Two): Volume 2",SVD (k=20)
AE22236AFRRSMQIKGG7TPTB75QEA,14,0375842209,4.5718,The Book Thief,SVD (k=20)
AE22236AFRRSMQIKGG7TPTB75QEA,15,1476746583,4.5717,All the Light We Cannot See,SVD (k=20)
AE22236AFRRSMQIKGG7TPTB75QEA,16,0307454541,4.5717,The Girl with the Dragon Tattoo (The Girl with the Dragon Tattoo Series),SVD (k=20)
AE22236AFRRSMQIKGG7TPTB75QEA,17,0312577222,4.5717,The Nightingale: A Novel,SVD (k=20)
AE22236AFRRSMQIKGG7TPTB75QEA,18,B00YTXTIDO,4.5717,The Short Drop (Gibson Vaughn),SVD (k=20)
AE22236AFRRSMQIKGG7TPTB75QEA,19,B00GU2RLMC,4.5717,The Storied Life of A. J. Fikry: A Novel,SVD (k=20)
AE22236AFRRSMQIKGG7TPTB75QEA,20,B00JO8PEN2,4.5717,The Nightingale: A Novel,SVD (k=20)
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,1,0062409859,3.8006,Go Set a Watchman: A Novel,SVD (k=20)
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,2,B006LSZECO,3.8003,Gone Girl: A Novel,SVD (k=20)
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,3,0735219095,3.8002,Where the Crawdads Sing,SVD (k=20)
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,4,B01COJUEZ0,3.8001,A Gentleman in Moscow: A Novel,SVD (k=20)
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,5,1594633665,3.8001,The Girl on the Train,SVD (k=20)
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,6,030758836X,3.8001,Gone Girl,SVD (k=20)
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,7,B00UEKRTW8,3.8001,Rogue Lawyer: A Novel,SVD (k=20)
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,8,B00AA20E5Y,3.8001,The Cuckoo's Calling (Cormoran Strike Book 1),SVD (k=20)
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,9,B00L9B7IKE,3.8001,The Girl on the Train: A Novel,SVD (k=20)
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,10,B00C2WDD5I,3.8,"The Atlantis Gene: A Thriller (The Origin Mystery, Book 1)",SVD (k=20)
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,11,B0146LBFIE,3.8,Blood Defense (Samantha Brinkman Book 1),SVD (k=20)
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,12,0312577222,3.8,The Nightingale: A Novel,SVD (k=20)
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,13,B019G6DSDE,3.8,The Girl in the Ice: A gripping serial killer thriller (Detective Erika Foster Book 1),SVD (k=20)
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,14,0399155341,3.8,The Help,SVD (k=20)
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,15,B00DPM7TIG,3.8,All the Light We Cannot See: A Novel,SVD (k=20)
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,16,B0050DIWFC,3.8,Defending Jacob: A Novel,SVD (k=20)
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,17,0439023513,3.8,Mockingjay (The Hunger Games),SVD (k=20)
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,18,B00FN2KR3U,3.8,Moving Day: A Thriller,SVD (k=20)
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,19,B00SLWQGUM,3.8,Follow You Home,SVD (k=20)
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,20,B00LWDQO90,3.8,The Gemini Effect,SVD (k=20)
AE222DQMT4CHUOINFJDEIYWZJHJQ,1,1594633665,4.6694,The Girl on the Train,SVD (k=20)
AE222DQMT4CHUOINFJDEIYWZJHJQ,2,B016ZNRC0Q,4.669,The Butterfly Garden (The Collector Book 1),SVD (k=20)
AE222DQMT4CHUOINFJDEIYWZJHJQ,3,B00UEKRTW8,4.6684,Rogue Lawyer: A Novel,SVD (k=20)
AE222DQMT4CHUOINFJDEIYWZJHJQ,4,0735219095,4.6676,Where the Crawdads Sing,SVD (k=20)
AE222DQMT4CHUOINFJDEIYWZJHJQ,5,0062409859,4.6675,Go Set a Watchman: A Novel,SVD (k=20)
